Name,POS,Age,Exp,College,team
Josh Kelly,WR,24,1,Texas Tech; Washington State; Fresno State,HOU
Justin Watson,WR,30,8,Penn,HOU
Nico Collins,WR,27,5,Michigan,HOU
Tank Dell,WR,26,3,Houston; Independence Comm. College; Alabama A&M,HOU
Xavier Hutchinson,WR,25,3,Iowa State,HOU
Anthony Richardson,QB,23,3,Florida,IND
Daniel Jones,QB,28,7,Duke,IND
Riley Leonard,QB,23,1,Notre Dame; Duke,IND
Seth Henigan,QB,23,1,Memphis,IND
Ameer Abdullah,RB,32,11,Nebraska,IND
DJ Giddens,RB,22,1,Kansas State,IND
Jonathan Taylor,RB,27,6,Wisconsin,IND
Salvon Ahmed,RB,27,6,Washington,IND
Seth McGowan,RB,24,0,--,IND
Ulysses Bentley IV,RB,25,1,Mississippi; SMU,IND
Andrew Ogletree,TE,27,4,Youngstown State,IND
Mo Alie-Cox,TE,32,9,Virginia Commonwealth Univ.,IND
Sean McKeon,TE,28,6,Michigan,IND
Tyler Warren,TE,23,1,Penn State,IND
Will Mallory,TE,26,3,Miami,IND
Alec Pierce,WR,26,4,Cincinnati,IND
Anthony Gould,WR,25,2,Oregon State,IND
Ashton Dulin,WR,28,7,Malone,IND
Coleman Owen,WR,25,1,Ohio; Northern Arizona,IND
D.J. Montgomery,WR,29,7,Austin Peay; Holmes County JC,IND
Eli Pancol,WR,25,1,Duke,IND
Josh Downs,WR,24,3,North Carolina,IND
Laquon Treadwell,WR,30,10,Mississippi,IND
Nick Westbrook-Ikhine,WR,29,6,Indiana,IND
Carter Bradley,QB,26,2,South Alabama; Toledo,JAX
Joey Aguilar,QB,24,0,--,JAX
Nick Mullens,QB,31,9,Southern Mississippi,JAX
Trevor Lawrence,QB,26,5,Clemson,JAX
Bhayshul Tuten,RB,24,1,Virginia Tech; North Carolina A&T,JAX
Chris Rodriguez Jr.,RB,26,3,Kentucky,JAX
DeeJay Dallas,RB,27,6,Miami,JAX
Ja'Quinden Jackson,RB,24,1,Arkansas; Utah; Texas,JAX
LeQuint Allen Jr.,RB,21,1,Syracuse,JAX
Brenton Strange,TE,25,3,Penn State,JAX
Hunter Long,TE,27,5,Boston College,JAX
Patrick Herbert,TE,25,1,Oregon,JAX
Quintin Morris,TE,27,5,Bowling Green,JAX
Austin Trammell,WR,27,5,Rice,JAX
Brian Thomas Jr.,WR,23,2,LSU,JAX
Chandler Brayboy,WR,24,1,Elon,JAX
Jakobi Meyers,WR,29,7,N.C. State,JAX
Joshua Cephus,WR,25,2,Texas-San Antonio,JAX
Parker Washington,WR,24,3,Penn State,JAX
Tim Jones,WR,27,5,Southern Mississippi,JAX
Tim Patrick,WR,32,9,Utah; Grossmont,JAX
Chris Oladokun,QB,28,4,South Dakota State,KC
Garrett Nussmeier,QB,24,0,--,KC
Justin Fields,QB,27,5,Ohio State,KC
Patrick Mahomes,QB,30,9,Texas Tech,KC
Brashard Smith,RB,23,1,SMU; Miami,KC
Emari Demercado,RB,27,3,TCU,KC
Kareem Hunt,RB,30,9,Toledo,KC
Keaontay Ingram,RB,26,4,USC,KC
Kenneth Walker III,RB,25,4,Michigan State; Wake Forest,KC
Jake Briningstool,TE,23,1,Clemson,KC
Jared Wiley,TE,25,2,TCU; Texas,KC
Noah Gray,TE,27,5,Duke,KC
Robert Tonyan,TE,32,9,Indiana State,KC
Travis Kelce,TE,36,13,Cincinnati,KC
Tre Watson,TE,23,1,Texas A&M; Fresno State,KC
Andrew Armstrong,WR,25,1,Arkansas; East Texas A&M,KC
Jalen Royals,WR,23,1,Utah State,KC
Jason Brownlee,WR,27,3,Southern Mississippi,KC
Jimmy Holiday,WR,24,1,Louisiana Tech; Western Kentucky; Tennessee,KC
JuJu Smith-Schuster,WR,29,9,USC,KC
Nikko Remigio,WR,26,3,Fresno State,KC
Rashee Rice,WR,26,3,SMU,KC
Tyquan Thornton,WR,25,4,Baylor,KC
Xavier Worthy,WR,23,2,Texas,KC
Jimmy Garoppolo,QB,34,12,Eastern Illinois,LA
Matthew Stafford,QB,38,17,Georgia,LA
Stetson Bennett,QB,28,3,Georgia; Jones County JC,LA
Blake Corum,RB,25,2,Michigan,LA
Jarquez Hunter,RB,23,1,Auburn,LA
Jordan Waters,RB,25,0,N.C. State; Duke,LA
Kyren Williams,RB,25,4,Notre Dame,LA
Ronnie Rivers,RB,27,4,Fresno State,LA
Colby Parkinson,TE,27,6,Stanford,LA
Davis Allen,TE,25,3,Clemson,LA
Mark Redman,TE,24,1,Louisville; San Diego State,LA
Nick Vannett,TE,33,10,Ohio State,LA
Terrance Ferguson,TE,23,1,Oregon,LA
Tyler Higbee,TE,33,10,Western Kentucky,LA
Brennan Presley,WR,24,1,Oklahoma State,LA
CJ Daniels,WR,24,0,--,LA
Davante Adams,WR,33,12,Fresno State,LA
Jordan Whittington,WR,25,2,Texas,LA
Konata Mumpfield,WR,23,1,Pittsburgh; Akron,LA
Mario Williams,WR,23,0,Tulane; Oklahoma,LA
Puka Nacua,WR,24,3,BYU; Washington,LA
Tru Edwards,WR,24,1,Louisiana Tech; Hawaii; Navarro,LA
Tyler Scott,WR,24,3,Cincinnati,LA
Xavier Smith,WR,28,3,Florida A&M,LA
DJ Uiagalelei,QB,25,1,Florida State; Oregon State; Clemson,LAC
Justin Herbert,QB,28,6,Oregon,LAC
Trey Lance,QB,26,5,North Dakota State,LAC
Alec Ingold,RB,29,7,Wisconsin,LAC
Amar Johnson,RB,23,1,South Dakota State,LAC
Hassan Haskins,RB,26,4,Michigan,LAC
Jaret Patterson,RB,26,5,Buffalo,LAC
Keaton Mitchell,RB,24,3,East Carolina,LAC
Kimani Vidal,RB,24,2,Troy,LAC
Najee Harris,RB,28,5,Alabama,LAC
Omarion Hampton,RB,23,1,North Carolina,LAC
Charlie Kolar,TE,27,4,Iowa State,LAC
Oronde Gadsden II,TE,22,1,Syracuse,LAC
Tanner McLachlan,TE,27,2,Arizona,LAC
Thomas Yassmin,TE,26,2,Utah,LAC
Tucker Fisk,TE,27,4,Stanford,LAC
Will Dissly,TE,29,8,Washington,LAC
Dalevon Campbell,WR,24,1,South Carolina,LAC
Derius Davis,WR,25,3,TCU,LAC
