"","Name","POS","Age","Exp","College","team"
"261","Marquez Callaway","WR",25,4,"Tennessee","DEN"
"262","Taylor Grimes","WR",23,0,"Incarnate Word","DEN"
"263","Kendall Hinton","WR",26,3,"Wake Forest","DEN"
"264","Lil'Jordan Humphrey","WR",25,4,"Texas","DEN"
"265","Jerry Jeudy","WR",24,4,"Alabama","DEN"
"266","Brandon Johnson","WR",25,2,"UCF","DEN"
"267","Marvin Mims Jr.","WR",21,0,"Oklahoma","DEN"
"268","Tim Patrick","WR",29,6,"Utah","DEN"
"269","Courtland Sutton","WR",27,6,"SMU","DEN"
"270","Jalen Virgil","WR",25,2,"Appalachian State","DEN"
"271","Montrell Washington","WR",24,2,"Samford","DEN"
"272","Nick Williams","WR",NA,0,"UNLV","DEN"
"273","Nate Adkins","TE",24,0,"South Carolina","DEN"
"274","Greg Dulcich","TE",23,2,"UCLA","DEN"
"275","Tommy Hudson","TE",26,2,"Arizona State","DEN"
"276","Chris Manhertz","TE",31,8,"Canisius","DEN"
"277","Albert Okwuegbunam","TE",25,4,"Missouri","DEN"
"278","Adam Trautman","TE",26,4,"Dayton","DEN"
"279","Teddy Bridgewater","QB",30,10,"Louisville","DET"
"280","Jared Goff","QB",28,8,"California","DET"
"281","Hendon Hooker","QB",25,0,"Tennessee","DET"
"282","Adrian Martinez","QB",23,0,"Kansas State","DET"
"283","Nate Sudfeld","QB",29,7,"Indiana","DET"
"284","Jahmyr Gibbs","RB",21,0,"Alabama","DET"
"285","Mohamed Ibrahim","RB",23,0,"Minnesota","DET"
"286","Justin Jackson","RB",27,6,"Northwestern","DET"
"287","Jermar Jefferson","RB",23,2,"Oregon State","DET"
"288","David Montgomery","RB",26,5,"Iowa State","DET"
"289","Devine Ozigbo","RB",26,4,"Nebraska","DET"
"290","Craig Reynolds","RB",27,2,"Kutztown","DET"
"291","Benny Snell","RB",25,5,"Kentucky","DET"
"292","Maurice Alexander","WR",26,1,"Florida International","DET"
"293","Trinity Benson","WR",26,3,"East Central (OK)","DET"
"294","Chase Cota","WR",23,0,"Oregon","DET"
"295","Dylan Drummond","WR",23,0,"Eastern Michigan","DET"
"296","Antoine Green","WR",23,0,"North Carolina","DET"
