player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
H.Henry,NE,TE,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,66.0,674.0,2.0,0.0,0.0,145.4,,,10.212121212121213,,
J.Bell,NE,TE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,20.0,0.0,0.0,0.0,4.0,,,10.0,,
D.Douglas,NE,WR,16,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,87.0,66.0,621.0,3.0,0.0,0.0,147.7,,5.333333333333333,9.409090909090908,,
J.Baker,NE,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,12.0,0.0,0.0,0.0,2.2,,,12.0,,
J.Polk,NE,WR,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,12.0,87.0,2.0,0.0,0.0,32.699999999999996,,0.0,7.25,,
K.Bourne,NE,WR,12,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,38.0,28.0,305.0,1.0,0.0,0.0,65.1,38.0,6.0,10.892857142857142,0.0,0.0
K.Boutte,NE,WR,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,43.0,589.0,3.0,0.0,1.0,121.89999999999999,,,13.69767441860465,,
K.Osborn,NE,WR,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,57.0,1.0,0.0,0.0,18.7,,,8.142857142857142,,
T.Thornton,NE,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,47.0,0.0,0.0,0.0,8.7,,,11.75,,
A.Prentice,NO,FB,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
D.Carr,NO,QB,10,279.0,189.0,2145.0,15.0,5.0,17.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,150.9,0.0,4.176470588235294,,0.6774193548387096,0.053763440860215055
J.Haener,NO,QB,8,39.0,18.0,226.0,1.0,1.0,11.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,0.0,2.0,,0.46153846153846156,0.02564102564102564
S.Rattler,NO,QB,7,228.0,130.0,1317.0,4.0,5.0,18.0,146.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,67.28,0.0,8.11111111111111,,0.5701754385964912,0.017543859649122806
